																								
																								
User: USER																								
Path: C:\Program Files\BMG\Omega\User\Data\																								
Test ID: 9825																								
Test Name: Paula_resazurina																								
Date: 2021-12-23																								
Time: 11:13:01																								
Fluorescence (FI)																								
																								
																								
																								
	Raw Data (EX 544/590)																							
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	213094	1535	208918	1347	225433	1073	182602	931	203231	804	202446	1039	247949	872	191426	784	244246	359	6913	261	7264	259	9482	252
B	629	280	607	272	622	265	617	268	570	267	560	267	626	267	542	273	739	267	268	249	270	258	261	250
C	176718	1244	177876	1020	192789	1282	214152	875	208688	820	208301	1040	235071	976	201845	955	250326	320	6064	262	6597	271	7653	240
D	607	274	560	268	564	260	437	243	418	260	431	260	341	258	339	263	365	244	262	250	254	243	272	241
E	207288	1297	201593	1122	228464	622	77549	486	83048	529	101190	302	9605	270	9444	283	8797	276	12693	259	9942	266	10034	242
F	531	265	515	261	553	256	318	246	298	244	326	254	416	258	422	260	531	249	259	236	255	246	266	238
G	228841	1220	214058	1102	253948	394	23404	307	20482	356	49146	874	200514	845	191572	1038	260000	339	3651	268	3746	265	3772	247
H	558	300	536	261	534	260	420	250	461	270	412	257	454	256	497	269	577	263	503	253	463	267	473	260
I	198722	1439	180331	988	169952	1046	191757	924	217905	813	229740	807	170527	945	194920	774	222682	789	233243	725	252887	690	220508	325
J	556	271	547	264	526	262	383	256	351	260	368	259	332	255	348	251	361	261	529	272	583	276	560	255
K	188670	1483	224338	1207	200950	344	9424	286	10081	271	9466	293	19173	308	20816	295	23655	695	183090	751	194498	762	204614	299
L	538	270	575	276	528	254	430	255	387	250	413	253	267	251	271	248	267	255	571	269	614	270	556	254
M	216116	1436	220291	1219	217435	1053	199466	876	205864	804	203211	339	11498	288	11359	282	11496	678	193188	664	218873	691	190163	304
N	619	273	544	260	561	261	357	253	356	259	349	255	468	255	500	267	522	256	351	253	363	268	358	245
O	221480	1382	188975	1300	209885	366	9354	286	9695	287	10383	904	209289	1031	246284	906	249881	312	6358	277	6979	267	7081	243
P	366	262	353	261	366	243	250	248	253	249	262	254	345	255	349	261	382	257	253	244	244	249	238	245
