												
												
User: USER												
Path: C:\Program Files\BMG\Omega\User\Data\												
Test ID: 10523												
Test Name: Paula_DO600												
Date: 2022-07-20												
Time: 09:17:45												
Absorbance			Absorbance values are displayed as OD									
												
												
												
	Raw Data (600)											
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.319	0.235	0.245	0.288	0.197	0.153	0.084	0.075	0.062	0.059	0.057	0.056
B	0.164	0.149	0.141	0.141	0.132	0.118	0.094	0.086	0.08	0.077	0.071	0.066
C	0.124	0.103	0.105	0.106	0.108	0.101	0.102	0.088	0.083	0.082	0.081	0.068
D	0.783	0.705	0.699	0.7	0.72	0.578	0.145	0.103	0.087	0.084	0.082	0.118
E	1.447	0.883	0.823	0.767	0.781	0.718	0.191	0.105	0.089	0.084	0.085	0.072
F	1.78	1.399	0.576	0.437	0.456	0.395	0.324	0.193	0.087	0.081	0.083	0.069
G	1.943	1.484	0.69	0.59	0.488	0.498	0.452	0.392	0.411	0.083	0.084	0.071
H	1.897	1.591	1.18	0.919	0.668	0.559	0.425	0.425	0.07	0.074	0.072	0.074
